"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1634.57/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xe1bd40d2030ce920ad0164c10a5b37ca8a18f2645ce4db5cdcdf99cd2d7a6967","15135489","1657731700","2022-07-13 17:01:40","0x0acd3b41e5b21e8b23b2ed054645316a9b1db287","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.05704365","93.2418389805","1114.57","","","Purchase",""
"0xe3f8e5c66a7c456b07b5d43a5b3ca5921a9abc7a6e5bf5041dd5aeaa02d77552","15135489","1657731700","2022-07-13 17:01:40","0xb0ae827e7a8c4b4eb71d4119c32a250333769364","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.9","0","4740.253","0.05918865","96.7479916305","1114.57","","","Purchase",""
"0x472b769de47600dae3cd0fbdf0c5c8e860b67ea1c0279fd7577ec793ea0184e8","15135489","1657731700","2022-07-13 17:01:40","0x09f21f29e075d6ed99098bbbd03ce8bb7b9f2792","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.912052117263843649","0","4759.95302931596","0.054622512","89.28431943984","1114.57","","","Purchase",""
"0x867246d63412a2667265f493256a6f59e7f1c55ffe19e26959efad342f021854","15135489","1657731700","2022-07-13 17:01:40","0x3a71c05b9666e49b5dc15df245b6d16d8f66f710","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.858306188925081434","0","4672.10154723127","0.055874721531142011","91.3311435731588","1114.57","","","Purchase",""
"0xf43c7d94f20c74bbb9e378a6431f51cf9bc984cb95650e3f10f2d70e5d9cd0b1","15135489","1657731700","2022-07-13 17:01:40","0x05e059a4020e9743c3262ddb01908159500f3b81","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.918566775244299675","0","4770.60169381107","0.055480130531142011","90.6861569622888","1114.57","","","Purchase",""
"0x452bdbb22d379227803109c9c4384ce2475f14af29d90c58e97de182bcf33ac7","15135489","1657731700","2022-07-13 17:01:40","0x21ef788a7ab1988dc9e34661a3016358107957db","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.918566775244299675","0","4770.60169381107","0.053333425124912583","87.1772167064284","1114.57","","","Purchase",""
"0x60bed1991db31b6e25922e0f92da11adbccd290ccecd8cafe5fd48441af1b47f","15135489","1657731700","2022-07-13 17:01:40","0x412d9f0421458d6e2736f8efaa9c1ea5352573cd","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.055480130531142011","90.6861569622888","1114.57","","","Purchase",""
"0x0550667c1c72de723ccd1c8d196f82943d72984e36d04a0de501727c520a2146","15135489","1657731700","2022-07-13 17:01:40","0xf10ce6c0d7f06080ec00df92bc90f3694a4cb26c","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.944625407166123779","0","4813.19635179153","0.055480130531142011","90.6861569622888","1114.57","","","Purchase",""
"0x27f28880e6d9f6847d0f65aceb962a5fa41f53124aa3c1fc9079c3379b7abac4","15135489","1657731700","2022-07-13 17:01:40","0x65dd41e5b528accf1d456e0c3147bf171ab3b63f","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.858306188925081434","0","4672.10154723127","0.053469527484961711","87.3996855410939","1114.57","","","Purchase",""
"0xa2e90886151cc06f2eb03fd7f897a7116244ac4f5fdcfa708922e37e2e243e6e","15135489","1657731700","2022-07-13 17:01:40","0x036d78c5e87e0aa07bf61815d1effe10c9fd5275","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.053469527484961711","87.3996855410939","1114.57","","","Purchase",""
"0xd1beaddd73e6bcc096ea2fbc5a8d84c91c1c1ab37001f69e40dc0030cc26405b","15135489","1657731700","2022-07-13 17:01:40","0xa68fdb0c7ecdc404637c5c06bab82a7bf00609f3","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.918566775244299675","0","4770.60169381107","0.051960590989045139","84.9332232129635","1114.57","","","Purchase",""
"0xbc9428a4d9f3ed4cd96d507b89daf170d8784949f5c8d700e9f50b35cb62e2a1","15135489","1657731700","2022-07-13 17:01:40","0x064635e9ad8c770df4430180f0983ac0c59fc3fc","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.912052117263843649","0","4759.95302931596","0.047536375","77.70153248375","1114.57","","","Purchase",""
"0xf173306f28cc1f0c80931921f37f4fcbac894ec6597477c63bde548f6a9fa8c8","15135489","1657731700","2022-07-13 17:01:40","0x73c4818b537a4108d3e90dc83baabe80405c66d8","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.918566775244299675","0","4770.60169381107","0.046194875","75.50875682875","1114.57","","","Purchase",""
