block_time,project_addresss,eth_price,usd_price,link,platform,seller,buyer
"2022-07-13 17:46:30",ArtBlocks,4.44,4859.136,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000278/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x7b8a6,\xc98d3
"2022-07-13 17:45:53",ArtBlocks,4.33,4722.6444,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000346/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xcf8b3,\x7e512
"2022-07-13 17:45:27",ArtBlocks,4.29,4679.0172,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000421/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xbd12b,\x40089
"2022-07-13 17:45:05",ArtBlocks,4.50,4908.06,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000452/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xbbfea,\x29011
"2022-07-13 17:43:51",ArtBlocks,4.30,4689.924,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000366/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x31249,\xc3a36
"2022-07-13 17:43:47",ArtBlocks,4.88,5319.24636,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000388/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x1ef06,\x145c0
"2022-07-13 17:42:58",ArtBlocks,4.25,4635.39,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000017/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x2829d,\xedd04
"2022-07-13 17:42:54",ArtBlocks,4.85,5289.798,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000079/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x3310f,\x145c0
"2022-07-13 17:42:39",ArtBlocks,4.20,4580.856,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000364/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x440d0,\x30f33
"2022-07-13 17:40:48",ArtBlocks,4.15,4512.627,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000402/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x394f4,\x7f822
"2022-07-13 17:40:48",ArtBlocks,4.21,4574.498922,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000065/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xd5421,\x01734
"2022-07-13 17:40:16",ArtBlocks,4.19,4556.1222,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000196/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xd347f,\xb89c2
"2022-07-13 17:40:16",ArtBlocks,4.20,4566.996,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000256/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x6f24b,\x6c8c7
"2022-07-13 17:40:16",ArtBlocks,4.50,4893.21,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000112/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xdaf6f,\x56d90
"2022-07-13 17:40:09",ArtBlocks,4.45,4838.841,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000336/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x1e74e,\xfaff9
